,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2023-09-30,ALB,USD,0000915913,2023-11-01,2023-11-01 16:43:20,2023,Q3,2310596000,2255662000,54934000,0.0237748183,21082000,0,0,173866000,11182000,194948000,2450610000,0,29332000,105445000,-23387000,-0.010121631,-140014000,-0.0605964868,11182000,-158164000,-0.068451603,-8551000,302533000,0.1309328848,2.58,2.57,117349000,117783000,https://www.sec.gov/Archives/edgar/data/915913/000091591323000180/0000915913-23-000180-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591323000180/alb-20230930.htm
1,2023-06-30,ALB,USD,0000915913,2023-08-02,2023-08-02 17:06:52,2023,Q2,2370190000,1811703000,558487000,0.2356296331,21419000,0,0,397070000,53954000,418489000,2230192000,0,25577000,93085000,287037000,0.1211029496,139998000,0.0590661508,53954000,168375000,0.0710386087,42987000,650043000,0.2742577599,5.54,5.52,117332000,117769000,https://www.sec.gov/Archives/edgar/data/915913/000091591323000166/0000915913-23-000166-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591323000166/alb-20230630.htm
2,2023-03-31,ALB,USD,0000915913,2023-05-03,2023-05-03 16:50:57,2023,Q1,2580252000,1303712000,1276540000,0.4947346228,20471000,0,0,154306000,82492000,174777000,1478489000,0,26777000,169763000,1271526000,0.4927914018,1101763000,0.4269982157,55715000,1157478000,0.4485910678,276963000,880515000,0.3412515522,7.51,7.47,117232000,117841000,https://www.sec.gov/Archives/edgar/data/915913/000091591323000115/0000915913-23-000115-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591323000115/alb-20230331.htm
3,2022-12-31,ALB,USD,0000915913,2023-02-15,2023-02-15 17:30:03,2022,Q4,2620978000,1619659000,1001319000,0.3820402155,20154000,0,0,148156000,54119000,168310000,1787969000,0,24039000,54119000,887128000,0.3384721276,833009000,0.3178237284,30080000,863089000,0.3293003604,24102000,838987000,0.3201045564,7.16,7.11,117160000,117925000,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/0000915913-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm
4,2022-09-30,ALB,USD,0000915913,2022-11-02,2022-11-02 17:08:05,2022,Q3,2091805000,1047991000,1043814000,0.49900158,18358000,0,0,134479000,7974000,152837000,1200828000,0,29691000,85687000,976664000,0.4669001174,890977000,0.4259369301,-21717000,869260000,0.4155549872,196938000,672322000,0.3214075882,5.74,5.7,117136000,117869000,https://www.sec.gov/Archives/edgar/data/915913/000091591322000167/0000915913-22-000167-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000167/alb-20220930.htm
5,2022-06-30,ALB,USD,0000915913,2022-08-03,2022-08-03 16:49:09,2022,Q2,1479593000,899169000,580424000,0.3922862571,17386000,0,0,128942000,8767000,146328000,1045497000,0,41409000,79760000,513856000,0.3472955063,434096000,0.29338879,-32642000,401454000,0.2713273177,89018000,312436000,0.2111634754,2.67,2.65,117116000,117724000,https://www.sec.gov/Archives/edgar/data/915913/000091591322000137/0000915913-22-000137-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000137/alb-20220630.htm
6,2022-03-31,ALB,USD,0000915913,2022-05-04,2022-05-04 17:17:47,2022,Q1,1127728000,678698000,449030000,0.3981722543,16083000,0,0,112568000,15496000,128651000,807349000,0,27834000,90470000,402449000,0.3568670814,311979000,0.2766438361,-12338000,299641000,0.2657032547,80530000,253383000,0.2246844984,1.87,1.86,117066000,117653000,https://www.sec.gov/Archives/edgar/data/915913/000091591322000103/0000915913-22-000103-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000103/alb-20220331.htm
7,2021-12-31,ALB,USD,0000915913,2022-02-22,2022-02-18 17:49:21,2021,Q4,894204000,657610000,236594000,0.2645861571,12125000,0,0,123302000,28530000,135427000,793037000,0,5306000,68235000,197932000,0.221349938,-31286000,-0.034987542,-103923000,-8062000,-0.0090158398,15024000,-3824000,-0.0042764291,-0.0327,-0.0327,116999000,116999000,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/0000915913-22-000027-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/alb-20211231.htm
8,2021-09-30,ALB,USD,0000915913,2021-11-04,2021-11-04 13:58:05,2021,Q3,830566000,581293000,249273000,0.3001242526,13289000,0,0,103477000,-643196000,116766000,698059000,0,5136000,62082000,-510689000,-0.6148686558,131523000,0.1583534602,-644180000,-516809000,-0.622237125,-114670000,-392781000,-0.4729076317,-3.36,-3.36,116965000,116965000,https://www.sec.gov/Archives/edgar/data/915913/000091591321000181/0000915913-21-000181-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591321000181/alb-20210930.htm
9,2021-06-30,ALB,USD,0000915913,2021-08-04,2021-08-04 16:51:10,2021,Q2,773896000,525479000,248417000,0.3209953275,13976000,0,0,121516000,14000,135492000,660971000,0,7152000,61423000,174362000,0.2253041752,542333000,0.7007827925,429422000,535195000,0.691559331,106985000,424600000,0.5486525321,3.63,3.62,116809000,117436000,https://www.sec.gov/Archives/edgar/data/915913/000091591321000149/0000915913-21-000149-index.htm,https://www.sec.gov/Archives/edgar/data/915913/000091591321000149/alb-20210630.htm
