Date,Open,High,Low,Close,Volume
20221202 09:30:00 America/New_York,167.48,168.26,167.01,168.26,521
20221202 10:00:00 America/New_York,168.53,168.53,168.53,168.53,100
20221202 11:00:00 America/New_York,168.48,168.58,168.48,168.58,200
20221202 12:00:00 America/New_York,169.25,169.32,169.03,169.09,400
20221202 13:00:00 America/New_York,169.08,169.16,168.83,169.15,2024
20221202 14:00:00 America/New_York,169.21,169.22,169.21,169.21,202
20221202 15:00:00 America/New_York,169.8,170.15,169.8,169.86,500
20221205 09:30:00 America/New_York,168.8,168.8,168.8,168.8,249
20221205 10:00:00 America/New_York,167.23,168.0,167.23,168.0,486
20221205 11:00:00 America/New_York,167.1,167.1,167.1,167.1,100
20221205 12:00:00 America/New_York,166.88,166.88,166.86,166.86,400
20221205 13:00:00 America/New_York,166.94,166.94,166.9,166.9,200
20221205 14:00:00 America/New_York,166.3,166.47,166.3,166.43,1700
20221205 15:00:00 America/New_York,166.24,166.25,165.91,165.98,2431
20221206 09:30:00 America/New_York,167.11,167.11,166.23,166.23,1143
20221206 10:00:00 America/New_York,165.17,165.17,164.93,165.0,881
20221206 11:00:00 America/New_York,165.25,165.26,164.58,164.58,1425
20221206 12:00:00 America/New_York,163.96,163.96,163.96,163.96,500
20221206 13:00:00 America/New_York,163.63,163.63,163.03,163.03,250
20221206 14:00:00 America/New_York,163.51,163.51,163.03,163.03,530
20221206 15:00:00 America/New_York,163.84,164.12,163.84,164.1,347
20221207 09:30:00 America/New_York,164.8,164.91,164.38,164.38,998
20221207 10:00:00 America/New_York,164.71,165.0,164.71,164.99,6905
20221207 11:00:00 America/New_York,164.46,164.56,164.46,164.56,601
20221207 12:00:00 America/New_York,164.89,165.01,164.88,165.01,480
20221207 13:00:00 America/New_York,165.39,165.39,165.21,165.26,325
20221207 14:00:00 America/New_York,165.19,165.19,165.15,165.19,4116
20221207 15:00:00 America/New_York,165.42,165.84,165.42,165.84,400
20221208 10:00:00 America/New_York,167.55,167.57,167.55,167.57,250
20221208 11:00:00 America/New_York,167.85,167.92,167.75,167.75,569
20221208 12:00:00 America/New_York,167.7,167.75,167.43,167.43,715
20221208 13:00:00 America/New_York,167.45,167.45,167.35,167.35,475
20221208 14:00:00 America/New_York,167.2,167.52,167.2,167.52,2061
20221208 15:00:00 America/New_York,167.36,167.81,167.36,167.81,2127
20221209 09:30:00 America/New_York,167.56,167.56,166.79,166.79,631
