,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2023-09-30,BTU,USD,0001064728,2023-11-03,2023-11-03 06:15:04,2023,Q3,1078900000,803700000,275200000,0.255074613,0,0,0,21500000,10000000,122500000,926200000,20300000,13800000,112100000,270900000,0.2510890722,158800000,0.1471869497,16100000,175300000,0.162480304,46500000,119900000,0.1111317082,0.9,0.82,132800000,149900000,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000146/0001064728-23-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000146/btu-20230930.htm
1,2023-06-30,BTU,USD,0001064728,2023-08-03,2023-08-03 16:32:53,2023,Q2,1268800000,862000000,406800000,0.3206179067,0,0,0,21700000,9700000,151500000,1013500000,23100000,13300000,110200000,371000000,0.2924022699,260800000,0.2055485498,13200000,278300000,0.2193411097,74200000,179200000,0.1412358134,1.24,1.15,144700000,159000000,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000104/0001064728-23-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000104/btu-20230630.htm
2,2023-03-31,BTU,USD,0001064728,2023-05-04,2023-05-04 06:33:11,2023,Q1,1364000000,846600000,517400000,0.3793255132,0,0,0,22800000,91700000,114500000,961100000,13100000,18400000,99300000,503800000,0.3693548387,404500000,0.2965542522,-2400000,402100000,0.2947947214,118000000,268500000,0.1968475073,1.96,405.86,144600000,700000,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000044/0001064728-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000044/btu-20230331.htm
3,2022-12-31,BTU,USD,0001064728,2023-02-24,2023-02-24 06:35:19,2022,Q4,1626100000,927800000,698300000,0.4294323842,0,0,0,24300000,98800000,123100000,1050900000,12100000,29500000,145500000,727900000,0.4476354468,582400000,0.3581575549,-700000,581700000,0.3577270771,-59800000,632000000,0.388659984,4.39,3.92,143900000,161900000,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000013/0001064728-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472823000013/btu-20221231.htm
4,2022-09-30,BTU,USD,0001064728,2022-11-03,2022-11-03 16:38:23,2022,Q3,1342500000,838400000,504100000,0.3754934823,0,0,0,19600000,93800000,113400000,951800000,4900000,33800000,83300000,503800000,0.3752700186,420500000,0.3132216015,-25400000,395100000,0.294301676,10700000,375100000,0.2794040968,2.6,2.33,144100000,161900000,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000067/0001064728-22-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000067/btu-20220930.htm
5,2022-06-30,BTU,USD,0001064728,2022-08-04,2022-08-04 16:25:00,2022,Q2,1321900000,825600000,496300000,0.375444436,0,0,0,21800000,86500000,108300000,933900000,900000,37600000,74400000,523700000,0.3961721764,449300000,0.3398895529,-26700000,422600000,0.3196913534,11300000,409500000,0.3097813753,2.84,2.53,144000000,161900000,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000059/0001064728-22-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000059/btu-20220630.htm
6,2022-03-31,BTU,USD,0001064728,2022-05-05,2022-05-05 06:38:49,2022,Q1,691400000,699000000,-7600000,-0.0109921898,0,0,0,23100000,87900000,111000000,810000000,500000,39400000,72900000,11700000,0.0169221869,-61200000,-0.0885160544,-59600000,-120800000,-0.1747179636,-1000000,-119800000,-0.1732716228,-0.88,-0.88,136200000,136200000,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000042/0001064728-22-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000042/btu-20220331.htm
7,2021-12-31,BTU,USD,0001064728,2022-02-18,2022-02-18 16:35:51,2021,Q4,1264600000,709700000,554900000,0.4387948759,0,0,0,20700000,84800000,105500000,815200000,2300000,40100000,142500000,663500000,0.524671833,521000000,0.4119879804,19800000,540800000,0.4276451052,33100000,513000000,0.4056618694,3.81,3.81,133300000,133300000,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000008/0001064728-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000008/btu-20211231.htm
8,2021-09-30,BTU,USD,0001064728,2021-11-05,2021-11-05 16:18:44,2021,Q3,679000000,649400000,29600000,0.0435935199,0,0,0,21100000,8600000,113300000,762700000,1400000,45500000,77900000,20000000,0.029455081,-43800000,-0.0645066274,64500000,-63300000,-0.0932253314,-3700000,-44200000,-0.065095729,-0.38,-0.38,114900000,114900000,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000045/0001064728-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000045/btu-20210930.htm
9,2021-06-30,BTU,USD,0001064728,2021-08-06,2021-08-06 16:04:40,2021,Q2,723400000,611400000,112000000,0.1548244401,0,0,0,21400000,8700000,113600000,725000000,1300000,45400000,77100000,82000000,0.113353608,-4200000,-0.0058059165,17900000,-27800000,-0.0384296378,-4800000,-28600000,-0.0395355267,-0.28,-0.28,101200000,101200000,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000023/0001064728-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000023/btu-20210630.htm
10,2021-03-31,BTU,USD,0001064728,2021-05-05,2021-05-05 16:59:48,2021,Q1,651300000,582600000,68700000,0.105481345,0,0,0,21700000,8700000,105900000,688500000,1500000,52400000,68300000,40400000,0.0620297866,-40800000,-0.0626439429,8600000,-79500000,-0.1220635652,-1800000,-80100000,-0.1229847996,-0.81,-0.81,98400000,98400000,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000017/0001064728-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000017/btu-20210331.htm
