Brand, Model, Percentage, Change
NVIDIA,NVIDIA GeForce RTX 3060,4.89%,-4.79%
NVIDIA,NVIDIA GeForce GTX 1650,4.61%,+1.06%
NVIDIA,NVIDIA GeForce GTX 1060,4.20%,-0.78%
NVIDIA,NVIDIA GeForce RTX 3060 Laptop GPU,3.81%,+1.13%
NVIDIA,NVIDIA GeForce RTX 2060,3.61%,-2.32%
NVIDIA,NVIDIA GeForce RTX 3060 Ti,3.43%,-1.40%
NVIDIA,NVIDIA GeForce RTX 3070,3.12%,-1.94%
NVIDIA,NVIDIA GeForce GTX 1050 Ti,2.91%,+0.52%
NVIDIA,NVIDIA GeForce RTX 3050,2.65%,+0.62%
NVIDIA,NVIDIA GeForce GTX 1660 SUPER,2.39%,+0.25%
NVIDIA,NVIDIA GeForce RTX 4060 Laptop GPU,2.33%,+0.96%
NVIDIA,NVIDIA GeForce RTX 3080,2.15%,-0.43%
AMD,AMD Radeon Graphics,2.00%,+0.53%
Intel,Intel Iris Xe Graphics,1.87%,+0.47%
NVIDIA,NVIDIA GeForce GTX 1660 Ti,1.76%,+0.27%
NVIDIA,NVIDIA GeForce GTX 1070,1.47%,+0.28%
NVIDIA,NVIDIA GeForce RTX 3070 Ti,1.46%,-0.40%
Intel,Intel(R) UHD Graphics,1.40%,+0.32%
NVIDIA,NVIDIA GeForce GTX 1050,1.39%,+0.27%
NVIDIA,NVIDIA GeForce RTX 2070 SUPER,1.32%,-0.06%
NVIDIA,NVIDIA GeForce RTX 2060 SUPER,1.20%,-0.49%
NVIDIA,NVIDIA GeForce RTX 4070,1.20%,-0.88%
NVIDIA,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.08%,+0.31%
NVIDIA,NVIDIA GeForce RTX 4070 Ti,1.06%,+0.16%
NVIDIA,NVIDIA GeForce GTX 1660,1.04%,-0.70%
AMD,AMD Radeon RX 580,0.97%,+0.25%
NVIDIA,NVIDIA GeForce RTX 2070,0.95%,-0.58%
NVIDIA,NVIDIA GeForce GTX 1080,0.90%,+0.07%
NVIDIA,NVIDIA GeForce RTX 4090,0.88%,+0.27%
NVIDIA,NVIDIA GeForce RTX 4060 Ti,0.85%,-0.55%
NVIDIA,NVIDIA GeForce RTX 3070 Laptop GPU,0.84%,+0.23%
NVIDIA,NVIDIA GeForce RTX 3080 Ti,0.82%,+0.15%
AMD,AMD AMD Custom GPU 0405,0.82%,+0.23%
NVIDIA,NVIDIA GeForce RTX 4060,0.81%,-0.94%
NVIDIA,NVIDIA GeForce GTX 1650 Ti,0.79%,+0.20%
NVIDIA,NVIDIA GeForce RTX 3050 Laptop GPU,0.73%,+0.20%
AMD,AMD Radeon RX 6700 XT,0.72%,+0.20%
AMD,AMD Radeon RX 570,0.70%,+0.18%
AMD,AMD Radeon RX 5700 XT,0.69%,+0.18%
NVIDIA,NVIDIA GeForce RTX 4080,0.67%,+0.05%
AMD,AMD Radeon(TM) Graphics,0.67%,+0.26%
AMD,AMD Radeon RX 6600,0.64%,+0.20%
NVIDIA,NVIDIA GeForce GTX 1080 Ti,0.63%,+0.16%
AMD,AMD Radeon Vega 8 Graphics,0.61%,+0.13%
NVIDIA,NVIDIA GeForce RTX 4050 Laptop GPU,0.60%,+0.23%
NVIDIA,NVIDIA GeForce RTX 3090,0.58%,+0.10%
NVIDIA,NVIDIA GeForce GTX 1650 SUPER,0.57%,+0.13%
NVIDIA,NVIDIA GeForce GTX 970,0.53%,+0.13%
NVIDIA,NVIDIA GeForce RTX 2080 SUPER,0.50%,-0.12%
Intel,Intel UHD Graphics 620,0.50%,+0.12%
NVIDIA,NVIDIA GeForce GT 1030,0.48%,+0.11%
NVIDIA,NVIDIA GeForce GTX 960,0.48%,+0.03%
NVIDIA,NVIDIA GeForce GTX 1070 Ti,0.47%,+0.01%
NVIDIA,NVIDIA GeForce RTX 2080,0.45%,-0.04%
AMD,AMD Radeon RX 580 2048SP,0.44%,+0.13%
NVIDIA,NVIDIA GeForce GTX 750 Ti,0.43%,+0.06%
AMD,AMD Radeon RX 6600 XT,0.43%,+0.10%
Intel,Intel UHD Graphics 630,0.42%,+0.10%
NVIDIA,NVIDIA GeForce RTX 2080 Ti,0.42%,+0.10%
NVIDIA,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.41%,+0.14%
AMD,AMD Radeon RX 6800 XT,0.33%,+0.10%
