Date,Open,High,Low,Close,Volume
20221202 09:30:00 America/New_York,166.59,168.08,164.45,165.45,5649137
20221202 10:00:00 America/New_York,165.44,167.07,164.99,165.86,5536594
20221202 11:00:00 America/New_York,165.85,167.71,165.35,166.79,3178383
20221202 12:00:00 America/New_York,166.84,167.4,165.91,166.05,2228857
20221202 13:00:00 America/New_York,166.08,166.98,165.46,166.82,1945140
20221202 14:00:00 America/New_York,166.83,168.21,166.33,168.16,2821717
20221202 15:00:00 America/New_York,168.17,169.33,167.33,168.83,5734658
20221205 09:30:00 America/New_York,166.79,168.45,166.39,168.14,3498797
20221205 10:00:00 America/New_York,168.1,168.74,166.65,168.64,4781840
20221205 11:00:00 America/New_York,168.63,169.95,167.54,167.88,3967970
20221205 12:00:00 America/New_York,167.87,168.38,166.64,166.83,2525732
20221205 13:00:00 America/New_York,166.83,168.13,166.12,166.19,2974040
20221205 14:00:00 America/New_York,166.17,166.73,164.72,165.76,2971355
20221205 15:00:00 America/New_York,165.75,166.36,165.12,166.08,4006844
20221206 09:30:00 America/New_York,165.3,165.73,161.96,161.99,3120970
20221206 10:00:00 America/New_York,162.01,162.53,159.44,160.22,5839361
20221206 11:00:00 America/New_York,160.23,161.51,159.85,160.57,3601901
20221206 12:00:00 America/New_York,160.57,161.3,159.77,160.62,3473377
20221206 13:00:00 America/New_York,160.63,161.06,159.91,160.84,2434838
20221206 14:00:00 America/New_York,160.83,160.91,158.45,159.09,3478440
20221206 15:00:00 America/New_York,159.11,160.09,158.19,159.87,4817779
20221207 09:30:00 America/New_York,157.73,161.56,156.67,158.7,4110200
20221207 10:00:00 America/New_York,158.71,160.77,157.66,160.42,5427237
20221207 11:00:00 America/New_York,160.44,161.68,158.14,159.65,4523992
20221207 12:00:00 America/New_York,159.65,159.99,158.65,159.97,2768230
20221207 13:00:00 America/New_York,159.96,161.33,159.7,160.36,3689127
20221207 14:00:00 America/New_York,160.35,161.48,159.83,160.72,3869640
20221207 15:00:00 America/New_York,160.71,161.86,160.26,161.17,4829675
20221208 09:30:00 America/New_York,162.7,163.28,159.59,163.0,5425197
20221208 10:00:00 America/New_York,163.0,168.9,162.78,167.49,10179460
20221208 11:00:00 America/New_York,167.5,168.26,166.27,167.88,4854081
20221208 12:00:00 America/New_York,167.89,168.38,166.98,168.35,3158573
20221208 13:00:00 America/New_York,168.37,169.47,168.0,169.07,4046588
20221208 14:00:00 America/New_York,169.08,170.58,168.03,170.24,4829333
20221208 15:00:00 America/New_York,170.24,171.79,169.61,171.78,7128864
20221209 09:30:00 America/New_York,171.6,174.49,170.45,172.0,6764731
20221209 10:00:00 America/New_York,172.08,175.0,171.07,174.94,7154899
20221209 11:00:00 America/New_York,174.96,175.83,173.82,175.06,5373375
20221209 12:00:00 America/New_York,175.07,175.35,173.85,173.94,3507036
20221209 13:00:00 America/New_York,173.9,173.9,172.17,173.04,3804441
20221209 14:00:00 America/New_York,173.03,173.51,172.24,173.34,2853396
20221209 15:00:00 America/New_York,173.28,173.41,169.75,169.98,5450928
20221212 09:30:00 America/New_York,170.42,171.29,167.97,171.03,4738973
20221212 10:00:00 America/New_York,171.06,172.65,169.88,170.87,7414945
20221212 11:00:00 America/New_York,170.87,172.03,170.54,171.64,4536720
20221212 12:00:00 America/New_York,171.66,172.56,171.26,171.57,3390930
20221212 13:00:00 America/New_York,171.61,172.42,170.65,172.0,3695912
20221212 14:00:00 America/New_York,172.02,173.75,171.34,173.37,3979644
20221212 15:00:00 America/New_York,173.38,175.38,173.19,175.35,7159026
20221213 09:30:00 America/New_York,185.01,187.9,183.01,186.17,9139915
20221213 10:00:00 America/New_York,186.27,186.39,180.62,182.41,9930173
20221213 11:00:00 America/New_York,182.45,183.39,179.68,180.64,6515415
20221213 12:00:00 America/New_York,180.67,181.02,177.11,178.47,6058494
20221213 13:00:00 America/New_York,178.49,181.18,178.03,179.52,4887410
20221213 14:00:00 America/New_York,179.53,181.44,179.11,179.7,3822947
20221213 15:00:00 America/New_York,179.65,181.32,178.46,180.69,6168765
20221214 09:30:00 America/New_York,179.88,181.79,178.51,180.94,5555444
20221214 10:00:00 America/New_York,180.96,182.52,180.11,180.52,6409353
20221214 11:00:00 America/New_York,180.52,180.79,179.6,180.31,3655048
20221214 12:00:00 America/New_York,180.3,180.34,178.92,179.01,2522338
20221214 13:00:00 America/New_York,179.1,181.45,179.0,181.16,2994088
20221214 14:00:00 America/New_York,181.12,181.25,174.2,175.66,8871604
20221214 15:00:00 America/New_York,175.7,180.06,175.12,176.71,7791366
20221215 09:30:00 America/New_York,171.46,173.2,168.38,168.81,5242665
20221215 10:00:00 America/New_York,168.82,169.15,167.28,168.08,5676846
20221215 11:00:00 America/New_York,168.1,168.98,167.0,168.4,4689345
20221215 12:00:00 America/New_York,168.37,169.75,167.66,167.91,3781560
20221215 13:00:00 America/New_York,167.92,168.27,167.32,168.03,2778022
20221215 14:00:00 America/New_York,168.03,170.74,167.91,170.57,5408442
20221215 15:00:00 America/New_York,170.58,171.19,169.19,169.6,6887743
20221216 09:30:00 America/New_York,168.75,170.41,167.56,168.95,5612629
20221216 10:00:00 America/New_York,168.92,168.92,164.1,165.9,6601869
20221216 11:00:00 America/New_York,165.9,166.69,165.07,165.25,4412388
20221216 12:00:00 America/New_York,165.25,166.1,164.75,164.88,3098901
20221216 13:00:00 America/New_York,164.89,165.8,164.57,165.65,2666321
20221216 14:00:00 America/New_York,165.62,166.57,165.29,166.35,2730178
20221216 15:00:00 America/New_York,166.33,167.35,165.64,165.77,6049296
20221219 09:30:00 America/New_York,165.89,166.09,161.77,162.64,3391380
20221219 10:00:00 America/New_York,162.64,163.77,161.72,162.94,4937512
20221219 11:00:00 America/New_York,162.98,164.29,161.75,162.09,4537164
20221219 12:00:00 America/New_York,162.08,164.64,162.07,164.1,3556445
20221219 13:00:00 America/New_York,164.12,164.26,162.91,163.01,2280002
20221219 14:00:00 America/New_York,162.97,163.28,162.04,162.51,3145469
20221219 15:00:00 America/New_York,162.5,162.86,161.45,162.58,5007432
20221220 09:30:00 America/New_York,160.58,162.9,158.52,162.67,5476636
20221220 10:00:00 America/New_York,162.71,163.1,160.94,162.09,6407071
20221220 11:00:00 America/New_York,162.08,162.7,159.7,161.3,4345393
20221220 12:00:00 America/New_York,161.31,161.97,159.94,161.03,3317510
20221220 13:00:00 America/New_York,161.04,161.58,159.78,161.13,3136971
