,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2023-10-29,NVDA,USD,0001045810,2023-11-21,2023-11-21 16:36:29,2024,Q3,18120000000,4720000000,13400000000,0.7395143488,2294000000,0,0,689000000,-66000000,2983000000,7703000000,234000000,63000000,372000000,10957000000,0.6046909492,10417000000,0.5748896247,-66000000,10522000000,0.5806843267,1279000000,9243000000,0.5100993377,3.75,3.71,2468000000,2494000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm
1,2023-07-30,NVDA,USD,0001045810,2023-08-28,2023-08-25 19:36:34,2024,Q2,13507000000,4045000000,9462000000,0.7005256534,2040000000,0,0,622000000,59000000,2662000000,6707000000,187000000,65000000,365000000,7411000000,0.548678463,6800000000,0.5034426594,59000000,6981000000,0.5168431184,793000000,6188000000,0.45813282,2.5,2.48,2473000000,2499000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm
2,2023-04-30,NVDA,USD,0001045810,2023-05-26,2023-05-26 16:17:32,2024,Q1,7192000000,2544000000,4648000000,0.6462736374,1875000000,0,0,633000000,-15000000,2508000000,5052000000,150000000,66000000,519000000,2659000000,0.3697163515,2140000000,0.2975528365,69000000,2209000000,0.3071468298,166000000,2043000000,0.2840656285,0.83,0.82,2470000000,2490000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm
3,2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,Q4,6051000000,2218000000,3833000000,0.6334490167,1951000000,0,0,625000000,-18000000,2576000000,4794000000,115000000,65000000,523000000,1780000000,0.2941662535,1257000000,0.2077342588,32000000,1289000000,0.2130226409,-125000000,1414000000,0.2336803834,0.57,0.57,2464000000,2477000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
4,2022-10-30,NVDA,USD,0001045810,2022-11-18,2022-11-18 16:35:31,2023,Q3,5931000000,2754000000,3177000000,0.535660091,1945000000,0,0,631000000,-11000000,2576000000,5330000000,88000000,65000000,483000000,1084000000,0.1827685045,601000000,0.1013319845,12000000,613000000,0.1033552521,-67000000,680000000,0.1146518294,0.27,0.27,2483000000,2499000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/0001045810-22-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm
5,2022-07-31,NVDA,USD,0001045810,2022-08-31,2022-08-31 17:01:35,2023,Q2,6704000000,3789000000,2915000000,0.4348150358,1824000000,0,0,592000000,-5000000,2416000000,6205000000,46000000,65000000,419000000,918000000,0.1369331742,499000000,0.0744331742,-24000000,475000000,0.070853222,-181000000,656000000,0.0978520286,0.26,0.26,2495000000,2516000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/0001045810-22-000147-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm
6,2022-05-01,NVDA,USD,0001045810,2022-05-27,2022-05-27 16:21:55,2023,Q1,8288000000,2857000000,5431000000,0.655284749,1618000000,0,0,592000000,-13000000,2210000000,5067000000,18000000,68000000,334000000,3560000000,0.4295366795,1868000000,0.2253861004,-1421000000,1805000000,0.217784749,187000000,1618000000,0.1952220077,0.65,0.64,2506000000,2537000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/0001045810-22-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm
7,2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,Q4,7643000000,2644000000,4999000000,0.6540625409,1466000000,0,0,563000000,-53000000,2029000000,4673000000,9000000,61000000,309000000,3235000000,0.4232631166,2970000000,0.3885908675,-61000000,2865000000,0.3748528065,-138000000,3003000000,0.3929085438,1.2,1.18,2504000000,2545000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
8,2021-10-31,NVDA,USD,0001045810,2021-11-22,2021-11-19 21:16:20,2022,Q3,7103000000,2472000000,4631000000,0.6519780374,1403000000,0,0,557000000,22000000,1960000000,4432000000,7000000,62000000,298000000,2998000000,0.4220751795,2671000000,0.3760382937,22000000,2638000000,0.3713923694,174000000,2464000000,0.3468956779,0.99,0.97,2499000000,2538000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/0001045810-21-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm
9,2021-08-01,NVDA,USD,0001045810,2021-08-20,2021-08-20 16:32:40,2022,Q2,6507000000,2292000000,4215000000,0.6477639465,1245000000,0,0,526000000,4000000,1771000000,4063000000,6000000,60000000,286000000,2740000000,0.4210849854,2444000000,0.3755955125,-50000000,2394000000,0.3679114799,20000000,2374000000,0.3648378669,0.95,0.94,2493000000,2532000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/0001045810-21-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm
10,2021-05-02,NVDA,USD,0001045810,2021-05-26,2021-05-26 16:35:56,2022,Q1,5661000000,2032000000,3629000000,0.6410528175,1153000000,0,0,520000000,135000000,1673000000,3705000000,6000000,53000000,281000000,2378000000,0.4200671259,1956000000,0.3455219926,88000000,2044000000,0.3610669493,132000000,1912000000,0.3377495142,0.77,0.76,2484000000,2528000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/0001045810-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm
11,2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,Q4,5003000000,1846000000,3157000000,0.6310213872,1147000000,0,0,503000000,10000000,1650000000,3496000000,6000000,53000000,287000000,1810000000,0.3617829302,1507000000,0.3012192684,10000000,1470000000,0.2938237058,13000000,1457000000,0.2912252648,0.59,0.58,2476000000,2524000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm
