Date,Open,High,Low,Close,Volume
20221202 09:30:00 America/New_York,18.58,18.69,18.21,18.42,259182
20221202 10:00:00 America/New_York,18.39,18.51,18.31,18.5,135367
20221202 11:00:00 America/New_York,18.47,18.7,18.44,18.68,103716
20221202 12:00:00 America/New_York,18.66,18.75,18.55,18.57,84059
20221202 13:00:00 America/New_York,18.58,18.69,18.5,18.69,97690
20221202 14:00:00 America/New_York,18.69,18.76,18.62,18.76,97638
20221202 15:00:00 America/New_York,18.76,18.81,18.68,18.76,180538
20221205 09:30:00 America/New_York,19.09,19.79,18.93,19.28,304357
20221205 10:00:00 America/New_York,19.26,19.37,19.16,19.32,210506
20221205 11:00:00 America/New_York,19.32,19.55,19.31,19.37,222886
20221205 12:00:00 America/New_York,19.36,19.38,19.19,19.27,57569
20221205 13:00:00 America/New_York,19.27,19.27,19.09,19.1,115130
20221205 14:00:00 America/New_York,19.1,19.12,18.95,19.01,76050
20221205 15:00:00 America/New_York,19.01,19.17,19.0,19.13,184703
20221206 09:30:00 America/New_York,19.42,19.42,19.18,19.19,125561
20221206 10:00:00 America/New_York,19.19,19.24,18.93,18.97,182503
20221206 11:00:00 America/New_York,18.98,19.1,18.95,18.96,144029
20221206 12:00:00 America/New_York,18.98,19.14,18.96,19.07,165590
20221206 13:00:00 America/New_York,19.06,19.06,18.71,18.74,408728
20221206 14:00:00 America/New_York,18.76,18.81,18.68,18.69,121672
20221206 15:00:00 America/New_York,18.69,18.82,18.65,18.75,221706
20221207 09:30:00 America/New_York,18.74,18.74,18.43,18.56,196765
20221207 10:00:00 America/New_York,18.58,18.59,18.19,18.5,381060
20221207 11:00:00 America/New_York,18.51,18.56,18.47,18.55,113887
20221207 12:00:00 America/New_York,18.55,18.63,18.47,18.5,310306
20221207 13:00:00 America/New_York,18.5,18.58,18.47,18.5,232148
20221207 14:00:00 America/New_York,18.51,18.57,18.49,18.51,117492
20221207 15:00:00 America/New_York,18.51,18.53,18.38,18.45,192469
20221208 09:30:00 America/New_York,18.69,18.87,18.62,18.81,115973
20221208 10:00:00 America/New_York,18.83,19.04,18.83,18.91,175771
20221208 11:00:00 America/New_York,18.91,18.94,18.79,18.91,58250
20221208 12:00:00 America/New_York,18.91,19.03,18.87,19.01,68576
20221208 13:00:00 America/New_York,19.01,19.05,18.87,18.89,79994
20221208 14:00:00 America/New_York,18.88,18.92,18.82,18.89,93301
20221208 15:00:00 America/New_York,18.89,18.91,18.84,18.91,142175
20221209 09:30:00 America/New_York,18.92,19.14,18.67,19.09,106242
20221209 10:00:00 America/New_York,19.07,19.39,19.05,19.34,175535
20221209 11:00:00 America/New_York,19.35,19.52,19.28,19.49,167770
20221209 12:00:00 America/New_York,19.49,19.5,19.36,19.48,76313
20221209 13:00:00 America/New_York,19.49,19.59,19.4,19.57,89369
20221209 14:00:00 America/New_York,19.57,19.61,19.46,19.46,75989
20221209 15:00:00 America/New_York,19.47,19.53,19.33,19.5,235733
20221212 09:30:00 America/New_York,19.47,19.73,19.34,19.61,219343
20221212 10:00:00 America/New_York,19.63,19.72,19.43,19.71,175696
20221212 11:00:00 America/New_York,19.7,19.75,19.59,19.69,95167
20221212 12:00:00 America/New_York,19.69,19.89,19.69,19.84,138563
20221212 13:00:00 America/New_York,19.84,19.84,19.63,19.67,85548
20221212 14:00:00 America/New_York,19.67,19.71,19.6,19.66,77681
20221212 15:00:00 America/New_York,19.65,19.75,19.64,19.73,215584
20221213 09:30:00 America/New_York,20.2,20.26,19.92,20.03,288153
20221213 10:00:00 America/New_York,20.04,20.17,19.98,20.05,354265
20221213 11:00:00 America/New_York,20.06,20.2,19.98,20.05,218585
20221213 12:00:00 America/New_York,20.05,20.12,20.0,20.03,146365
20221213 13:00:00 America/New_York,20.04,20.09,20.0,20.06,119595
20221213 14:00:00 America/New_York,20.06,20.08,19.99,20.02,172646
20221213 15:00:00 America/New_York,20.01,20.11,19.99,20.03,341989
20221214 09:30:00 America/New_York,20.05,20.19,19.99,20.05,176580
20221214 10:00:00 America/New_York,20.05,20.29,19.96,20.09,226103
20221214 11:00:00 America/New_York,20.09,20.15,19.95,20.03,178032
20221214 12:00:00 America/New_York,20.04,20.24,20.03,20.2,102259
20221214 13:00:00 America/New_York,20.19,20.23,20.14,20.22,99225
20221214 14:00:00 America/New_York,20.2,20.26,20.01,20.24,260780
20221214 15:00:00 America/New_York,20.22,20.34,20.18,20.24,158658
20221215 09:30:00 America/New_York,20.31,20.58,20.27,20.52,231522
20221215 10:00:00 America/New_York,20.53,20.58,20.37,20.46,327053
20221215 11:00:00 America/New_York,20.45,20.51,20.38,20.42,169609
20221215 12:00:00 America/New_York,20.41,20.64,20.4,20.41,452036
20221215 13:00:00 America/New_York,20.42,20.53,20.34,20.53,156721
20221215 14:00:00 America/New_York,20.51,20.56,20.46,20.51,145862
20221215 15:00:00 America/New_York,20.51,20.61,20.45,20.57,380219
20221216 09:30:00 America/New_York,20.5,20.63,19.94,20.1,197378
20221216 10:00:00 America/New_York,20.1,20.1,19.73,19.82,325705
20221216 11:00:00 America/New_York,19.82,19.91,19.62,19.67,162384
20221216 12:00:00 America/New_York,19.67,19.72,19.52,19.53,182429
20221216 13:00:00 America/New_York,19.54,19.56,19.36,19.38,192876
20221216 14:00:00 America/New_York,19.39,19.59,19.34,19.53,154927
20221216 15:00:00 America/New_York,19.54,19.64,19.48,19.53,361460
20221219 09:30:00 America/New_York,19.42,19.45,18.49,18.57,331519
20221219 10:00:00 America/New_York,18.59,18.85,18.57,18.74,150694
20221219 11:00:00 America/New_York,18.72,18.76,18.29,18.37,214525
20221219 12:00:00 America/New_York,18.38,18.68,18.34,18.48,146780
20221219 13:00:00 America/New_York,18.49,18.62,18.44,18.59,92287
20221219 14:00:00 America/New_York,18.6,18.61,18.43,18.48,106654
20221219 15:00:00 America/New_York,18.48,18.57,18.39,18.55,281710
20221220 09:30:00 America/New_York,18.57,19.07,18.5,19.02,163577
20221220 10:00:00 America/New_York,19.05,19.24,18.95,18.97,146756
20221220 11:00:00 America/New_York,18.96,19.01,18.81,18.91,87936
20221220 12:00:00 America/New_York,18.92,19.08,18.88,19.08,120181
20221220 13:00:00 America/New_York,19.07,19.33,19.07,19.32,115469
20221220 14:00:00 America/New_York,19.32,19.44,19.3,19.31,104361
20221220 15:00:00 America/New_York,19.32,19.37,19.25,19.35,225412
20221221 09:30:00 America/New_York,19.78,20.51,19.75,20.51,409574
20221221 10:00:00 America/New_York,20.5,20.68,20.3,20.6,684318
20221221 11:00:00 America/New_York,20.6,20.64,20.37,20.37,229214
20221221 12:00:00 America/New_York,20.36,20.56,20.3,20.48,185555
20221221 13:00:00 America/New_York,20.47,20.49,20.37,20.45,180205
20221221 14:00:00 America/New_York,20.45,20.53,20.44,20.48,161130
20221221 15:00:00 America/New_York,20.48,20.58,20.38,20.53,253929
20221222 09:30:00 America/New_York,20.37,20.48,20.08,20.17,203455
20221222 10:00:00 America/New_York,20.16,20.31,20.01,20.06,271907
20221222 11:00:00 America/New_York,20.08,20.11,19.81,20.02,220173
20221222 12:00:00 America/New_York,20.01,20.01,19.76,19.85,164040
20221222 13:00:00 America/New_York,19.85,19.86,19.68,19.8,159000
20221222 14:00:00 America/New_York,19.8,19.95,19.79,19.95,136903
20221222 15:00:00 America/New_York,19.95,20.24,19.94,20.23,223401
20221223 09:30:00 America/New_York,20.4,20.64,20.17,20.39,170408
20221223 10:00:00 America/New_York,20.4,20.6,20.33,20.47,147686
20221223 11:00:00 America/New_York,20.47,20.73,20.47,20.67,174035
20221223 12:00:00 America/New_York,20.68,20.78,20.56,20.57,184901
20221223 13:00:00 America/New_York,20.56,20.59,20.4,20.46,97593
20221223 14:00:00 America/New_York,20.45,20.55,20.38,20.49,100572
20221223 15:00:00 America/New_York,20.49,20.5,20.33,20.37,204729
20221227 09:30:00 America/New_York,20.22,20.35,20.16,20.24,152161
20221227 10:00:00 America/New_York,20.24,20.43,20.18,20.24,112498
20221227 11:00:00 America/New_York,20.24,20.38,20.23,20.3,60439
20221227 12:00:00 America/New_York,20.3,20.31,20.17,20.18,67838
20221227 13:00:00 America/New_York,20.19,20.27,20.17,20.25,43641
20221227 14:00:00 America/New_York,20.24,20.25,20.16,20.2,66013
20221227 15:00:00 America/New_York,20.19,20.28,20.19,20.2,139487
20221228 09:30:00 America/New_York,20.1,20.16,19.77,19.77,113364
20221228 10:00:00 America/New_York,19.77,19.87,19.65,19.73,189149
20221228 11:00:00 America/New_York,19.74,19.78,19.59,19.61,181301
20221228 12:00:00 America/New_York,19.61,19.62,19.53,19.61,106001
20221228 13:00:00 America/New_York,19.61,19.73,19.6,19.61,92480
20221228 14:00:00 America/New_York,19.61,19.64,19.51,19.52,156502
20221228 15:00:00 America/New_York,19.52,19.6,19.41,19.47,478886
20221229 09:30:00 America/New_York,19.63,19.79,19.46,19.71,72343
20221229 10:00:00 America/New_York,19.74,19.98,19.72,19.96,116969
20221229 11:00:00 America/New_York,19.97,20.14,19.96,19.97,138478
20221229 12:00:00 America/New_York,19.96,20.0,19.84,19.97,105935
20221229 13:00:00 America/New_York,19.97,19.99,19.85,19.87,76121
20221229 14:00:00 America/New_York,19.88,19.89,19.74,19.75,89711
20221229 15:00:00 America/New_York,19.75,19.8,19.64,19.68,191310
20221230 09:30:00 America/New_York,19.48,19.5,19.11,19.22,125511
20221230 10:00:00 America/New_York,19.24,19.25,18.98,19.0,197822
20221230 11:00:00 America/New_York,19.01,19.2,19.0,19.16,150412
20221230 12:00:00 America/New_York,19.18,19.24,19.08,19.2,136817
20221230 13:00:00 America/New_York,19.2,19.21,19.11,19.16,78513
20221230 14:00:00 America/New_York,19.16,19.32,19.15,19.24,95593
20221230 15:00:00 America/New_York,19.23,19.31,19.12,19.23,359912
20230103 09:30:00 America/New_York,19.32,19.42,19.17,19.18,116303
20230103 10:00:00 America/New_York,19.18,19.2,18.7,18.89,360584
20230103 11:00:00 America/New_York,18.91,18.92,18.64,18.75,140428
20230103 12:00:00 America/New_York,18.75,18.85,18.68,18.71,82716
20230103 13:00:00 America/New_York,18.71,18.78,18.67,18.76,73361
20230103 14:00:00 America/New_York,18.77,18.81,18.62,18.65,88403
20230103 15:00:00 America/New_York,18.66,18.73,18.45,18.46,417130
20230104 09:30:00 America/New_York,18.43,18.6,18.19,18.39,295768
20230104 10:00:00 America/New_York,18.4,18.48,18.2,18.37,190815
20230104 11:00:00 America/New_York,18.37,18.57,18.34,18.46,178214
20230104 12:00:00 America/New_York,18.46,18.52,18.39,18.4,89664
20230104 13:00:00 America/New_York,18.39,18.41,18.33,18.39,144372
20230104 14:00:00 America/New_York,18.38,18.47,18.3,18.38,169998
20230104 15:00:00 America/New_York,18.38,18.44,18.32,18.38,269254
20230105 09:30:00 America/New_York,18.3,18.47,18.2,18.3,125224
20230105 10:00:00 America/New_York,18.32,18.43,18.24,18.39,130908
20230105 11:00:00 America/New_York,18.39,18.64,18.39,18.47,145821
20230105 12:00:00 America/New_York,18.47,18.49,18.34,18.37,90863
20230105 13:00:00 America/New_York,18.36,18.59,18.36,18.49,99191
20230105 14:00:00 America/New_York,18.48,18.53,18.41,18.47,89676
20230105 15:00:00 America/New_York,18.47,18.53,18.44,18.46,204754
20230106 09:30:00 America/New_York,18.69,18.83,18.6,18.66,85275
20230106 10:00:00 America/New_York,18.67,19.0,18.67,18.97,105436
20230106 11:00:00 America/New_York,18.97,19.21,18.95,19.1,153509
20230106 12:00:00 America/New_York,19.11,19.33,19.1,19.33,110114
20230106 13:00:00 America/New_York,19.33,19.55,19.31,19.45,103261
20230106 14:00:00 America/New_York,19.45,19.63,19.41,19.62,109885
20230106 15:00:00 America/New_York,19.63,19.63,19.45,19.61,230818
20230109 09:30:00 America/New_York,19.87,20.36,19.87,20.34,313331
20230109 10:00:00 America/New_York,20.34,20.38,19.92,20.03,231749
20230109 11:00:00 America/New_York,20.05,20.3,20.04,20.29,158344
20230109 12:00:00 America/New_York,20.29,20.33,20.07,20.17,238103
20230109 13:00:00 America/New_York,20.18,20.21,20.07,20.1,118803
20230109 14:00:00 America/New_York,20.1,20.12,19.95,19.96,132729
20230109 15:00:00 America/New_York,19.96,19.98,19.86,19.89,390163
20230110 09:30:00 America/New_York,19.69,19.93,19.68,19.89,143339
20230110 10:00:00 America/New_York,19.9,20.2,19.87,20.18,128296
20230110 11:00:00 America/New_York,20.17,20.55,20.15,20.53,425500
20230110 12:00:00 America/New_York,20.53,20.64,20.48,20.61,148234
20230110 13:00:00 America/New_York,20.61,20.69,20.42,20.48,140685
20230110 14:00:00 America/New_York,20.47,20.62,20.46,20.53,120608
20230110 15:00:00 America/New_York,20.53,20.68,20.52,20.62,260033
20230111 09:30:00 America/New_York,20.68,20.85,20.52,20.72,181448
20230111 10:00:00 America/New_York,20.73,20.91,20.48,20.59,179468
20230111 11:00:00 America/New_York,20.59,20.61,20.21,20.21,144181
20230111 12:00:00 America/New_York,20.21,20.38,20.17,20.34,78478
20230111 13:00:00 America/New_York,20.34,20.41,20.32,20.36,67721
20230111 14:00:00 America/New_York,20.35,20.35,20.18,20.24,116103
20230111 15:00:00 America/New_York,20.24,20.47,20.22,20.43,175348
20230112 09:30:00 America/New_York,20.34,20.65,20.34,20.51,126641
20230112 10:00:00 America/New_York,20.53,20.8,20.36,20.7,341479
20230112 11:00:00 America/New_York,20.7,20.87,20.69,20.73,148612
20230112 12:00:00 America/New_York,20.74,20.97,20.74,20.97,89147
20230112 13:00:00 America/New_York,20.98,21.04,20.69,20.9,235265
20230112 14:00:00 America/New_York,20.9,21.03,20.89,21.01,156800
20230112 15:00:00 America/New_York,21.01,21.03,20.81,21.03,293128
20230113 09:30:00 America/New_York,20.89,21.03,20.74,20.91,114995
20230113 10:00:00 America/New_York,20.94,20.98,20.78,20.89,114377
20230113 11:00:00 America/New_York,20.89,20.93,20.71,20.87,352658
20230113 12:00:00 America/New_York,20.87,20.91,20.81,20.89,95778
20230113 13:00:00 America/New_York,20.89,20.97,20.83,20.92,66168
20230113 14:00:00 America/New_York,20.92,20.94,20.7,20.8,102566
20230113 15:00:00 America/New_York,20.8,20.86,20.72,20.77,135143
20230117 09:30:00 America/New_York,21.11,21.88,21.0,21.87,932538
20230117 10:00:00 America/New_York,21.85,21.99,21.62,21.66,413891
20230117 11:00:00 America/New_York,21.65,21.86,21.39,21.72,489544
20230117 12:00:00 America/New_York,21.72,21.82,21.68,21.71,97677
20230117 13:00:00 America/New_York,21.71,21.85,21.68,21.85,77060
20230117 14:00:00 America/New_York,21.85,21.94,21.78,21.89,154668
20230117 15:00:00 America/New_York,21.89,21.98,21.85,21.94,292357
20230118 09:30:00 America/New_York,22.2,22.4,21.87,22.05,574956
20230118 10:00:00 America/New_York,22.06,22.12,21.89,22.07,282355
20230118 11:00:00 America/New_York,22.07,22.08,21.92,22.05,160688
20230118 12:00:00 America/New_York,22.06,22.11,21.82,21.88,174623
20230118 13:00:00 America/New_York,21.87,21.89,21.63,21.8,147667
20230118 14:00:00 America/New_York,21.81,21.9,21.74,21.74,145862
20230118 15:00:00 America/New_York,21.74,21.88,21.71,21.72,208554
20230119 09:30:00 America/New_York,21.61,21.78,21.12,21.28,324946
20230119 10:00:00 America/New_York,21.28,21.5,21.17,21.22,209063
20230119 11:00:00 America/New_York,21.21,21.54,21.16,21.48,177185
20230119 12:00:00 America/New_York,21.51,21.7,21.51,21.68,74974
20230119 13:00:00 America/New_York,21.68,21.78,21.65,21.75,57742
20230119 14:00:00 America/New_York,21.75,21.8,21.71,21.77,42616
20230119 15:00:00 America/New_York,21.79,21.9,21.7,21.83,132285
20230120 09:30:00 America/New_York,22.07,22.12,21.84,22.1,94967
20230120 10:00:00 America/New_York,22.1,22.21,22.05,22.07,146311
20230120 11:00:00 America/New_York,22.06,22.15,22.0,22.04,116909
20230120 12:00:00 America/New_York,22.04,22.37,22.01,22.33,271322
20230120 13:00:00 America/New_York,22.33,22.47,22.2,22.47,440646
20230120 14:00:00 America/New_York,22.48,22.48,22.36,22.47,170784
20230120 15:00:00 America/New_York,22.48,22.53,22.33,22.46,428259
20230123 09:30:00 America/New_York,22.36,22.36,21.7,21.91,291856
20230123 10:00:00 America/New_York,21.92,22.1,21.66,21.89,358249
20230123 11:00:00 America/New_York,21.88,21.96,21.75,21.79,158120
20230123 12:00:00 America/New_York,21.78,21.95,21.75,21.91,108433
20230123 13:00:00 America/New_York,21.9,21.96,21.72,21.75,170861
20230123 14:00:00 America/New_York,21.73,21.84,21.71,21.78,127256
20230123 15:00:00 America/New_York,21.77,21.9,21.73,21.85,170860
20230124 09:30:00 America/New_York,21.74,21.81,21.4,21.65,139701
20230124 10:00:00 America/New_York,21.64,21.75,21.42,21.68,185155
20230124 11:00:00 America/New_York,21.65,21.74,21.56,21.62,94541
20230124 12:00:00 America/New_York,21.61,21.68,21.58,21.59,50953
20230124 13:00:00 America/New_York,21.58,21.63,21.46,21.5,68454
20230124 14:00:00 America/New_York,21.49,21.5,21.35,21.41,238572
20230124 15:00:00 America/New_York,21.42,21.55,21.41,21.47,178349
20230125 09:30:00 America/New_York,21.3,21.74,21.17,21.6,168595
20230125 10:00:00 America/New_York,21.56,21.97,21.42,21.93,195019
20230125 11:00:00 America/New_York,21.94,21.99,21.65,21.78,151292
20230125 12:00:00 America/New_York,21.79,21.94,21.68,21.94,83904
20230125 13:00:00 America/New_York,21.94,22.16,21.91,22.16,162441
20230125 14:00:00 America/New_York,22.15,22.21,22.07,22.13,128554
20230125 15:00:00 America/New_York,22.13,22.24,22.11,22.22,236126
20230126 09:30:00 America/New_York,22.5,22.56,21.78,21.87,128727
20230126 10:00:00 America/New_York,21.87,21.96,21.74,21.93,166978
20230126 11:00:00 America/New_York,21.93,21.94,21.68,21.82,87012
20230126 12:00:00 America/New_York,21.81,21.88,21.79,21.82,47995
20230126 13:00:00 America/New_York,21.82,21.93,21.8,21.93,55623
20230126 14:00:00 America/New_York,21.94,22.02,21.91,22.02,75898
20230126 15:00:00 America/New_York,22.02,22.16,21.98,22.12,206794
20230127 09:30:00 America/New_York,22.26,22.66,22.17,22.66,234439
20230127 10:00:00 America/New_York,22.66,22.77,22.58,22.77,227461
20230127 11:00:00 America/New_York,22.76,23.08,22.7,22.95,242698
20230127 12:00:00 America/New_York,22.96,23.1,22.92,22.99,138364
20230127 13:00:00 America/New_York,22.99,23.14,22.91,23.13,167254
20230127 14:00:00 America/New_York,23.13,23.34,23.09,23.29,225829
20230127 15:00:00 America/New_York,23.3,23.45,23.25,23.39,313451
20230130 09:30:00 America/New_York,23.39,23.54,22.91,22.96,457832
20230130 10:00:00 America/New_York,22.96,23.26,22.95,22.98,265391
20230130 11:00:00 America/New_York,22.98,23.06,22.76,22.97,214199
20230130 12:00:00 America/New_York,22.97,23.02,22.86,22.91,91701
20230130 13:00:00 America/New_York,22.9,22.91,22.78,22.84,96449
