,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2023-09-30,SBLK,USD,0001386716,2023-11-13,2023-11-13 17:20:11,2023,Q3,223087000,167919000,55168000,0.2472936567,0,13645000,0,13645000,-283000,13497000,181416000,3672000,18058000,36923000,81983000,0.3674933994,62425000,0.2798235666,16465000,43750000,0.1961118308,78000,43655000,0.195685988,0.46,0.45,95664267,96139203,https://www.sec.gov/Archives/edgar/data/1386716/000095015723001134/0000950157-23-001134-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000095015723001134/ex99-1.htm
1,2023-06-30,SBLK,USD,0001386716,2023-08-03,2023-08-03 16:57:57,2023,Q2,238686000,170817000,67869000,0.284344285,0,11010000,0,11010000,0,10738000,181555000,3444000,16029000,37701000,98276000,0.4117375967,57419000,0.2405629153,-316000,44230000,0.1853062182,15940000,44319000,0.185679093,0.43,0.43,102670975,102961179,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000834/0000950157-23-000834-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000834/exhibit992.htm
2,2023-03-31,SBLK,USD,0001386716,2023-05-17,2023-05-17 08:47:07,2023,Q1,224035000,179378000,44657000,0.1993304618,0,11665000,0,11665000,-33233000,-21568000,157810000,3149000,21580000,46285000,105663000,0.4716361283,59378000,0.2650389448,-13344000,46034000,0.2054768228,103000,45875000,0.2047671123,0.45,0.44,102974041,103381943,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000536/0000950157-23-000536-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000536/ex99-1.htm
3,2022-12-31,SBLK,USD,0001386716,2023-03-07,2023-03-07 16:06:52,2022,Q4,294803000,193116000,101687000,0.3449320394,0,12547000,0,12547000,-585000,11962000,205078000,6821000,14822000,7758000,96547000,0.3274966673,88789000,0.3011807885,-2793000,85996000,0.2917066651,200000,85796000,0.291028246,0.84,0.84,102468182,102724888,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000218/0000950157-23-000218-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000095015723000218/sblk-20221231.htm
4,2022-09-30,SBLK,USD,0001386716,2022-09-30,2022-09-29 20:00:00,2022,Q3,364136000,226457000,137679000,0.3780977437,0,18367000,0,18367000,-288000,13579000,240036000,168000,13448000,39555000,163535000,0.4491041809,124134000,0.3409001033,-1238000,109582000,0.3009370125,7000,109693000,0.3012418437,1.08,1.07,101945181,102541314,,
5,2022-06-30,SBLK,USD,0001386716,2022-05-25,2022-05-24 18:17:54,2022,Q2,417334000,188111000,229223000,0.5492555124,0,17147000,0,17147000,-1676000,15471000,203582000,-200000,11672000,38558000,250994000,0.6014223619,212436000,0.5090311357,-12297000,200139000,0.4795655279,168000,200146000,0.479582301,1.96,1.96,101981583,102257673,https://www.sec.gov/Archives/edgar/data/1386716/000091957422003623/0000919574-22-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957422003623/d9515366_ex99-1.htm
6,2022-03-31,SBLK,USD,0001386716,2022-05-25,2022-05-24 18:17:54,2022,Q1,360883000,166909000,193974000,0.5374983028,0,8765000,0,8765000,347000,9112000,176021000,261000,10046000,39688000,221927000,0.6149555396,182239000,0.5049808387,-11821000,170418000,0.4722250702,37000,170364000,0.4720754372,1.67,1.67,101981583,102257673,https://www.sec.gov/Archives/edgar/data/1386716/000091957422003623/0000919574-22-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957422003623/d9515366_ex99-1.htm
7,2021-12-31,SBLK,USD,0001386716,2022-03-15,2022-03-15 16:07:56,2021,Q4,729522000,-211738000,941260000,1.2902421037,0,14504000,0,14504000,170675000,185179000,-26559000,-1932000,-29131000,-61352000,398287000,0.5459561192,-232366000,-0.318518153,724925000,492559000,0.6751804606,-4014000,492784000,0.6754888818,0.0049,0.0049,101183829000,101479072000,https://www.sec.gov/Archives/edgar/data/1386716/000091957422002290/0000919574-22-002290-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957422002290/sblk-20211231.htm
8,2021-06-30,SBLK,USD,0001386716,2021-06-30,2021-06-30 00:00:00,2021,Q2,311411000,160083000,151328000,0.4859430142,0,10130000,0,10130000,-1520000,8610000,168693000,-88000,12178000,38103000,176893000,0.5680370957,141711000,0.4550609966,-3916000,124251000,0.3989936129,2403000,124209000,0.3988587429,1.26,1.26,98712581,98712581,,
9,2021-03-31,SBLK,USD,0001386716,2021-03-31,2021-03-31 00:00:00,2021,Q1,200467000,143440000,57027000,0.2844707608,0,7297000,0,7297000,323000,7620000,151060000,1750000,11850000,36233000,85242000,0.425217118,48424000,0.2415559668,-1425000,35734000,0.1782537774,1396000,35763000,0.1783984396,0.36,0.36,98712581,99019944,,
10,2020-12-31,SBLK,USD,0001386716,2021-04-01,2021-03-31 22:00:36,2020,Q4,186023000,134326000,51697000,0.2779064954,0,7569000,0,7569000,-587000,6879000,141205000,270000,15434000,-10648000,44501000,0.2392231068,44445000,0.2389220688,-1772000,27882000,0.1498846917,111000,27774000,0.1493041183,0.29,0.29,96752291,96983233,https://www.sec.gov/Archives/edgar/data/1386716/000091957421002709/0000919574-21-002709-index.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957421002709/sblk-20201231.htm
11,2020-09-30,SBLK,USD,0001386716,2020-09-30,2020-09-30 00:00:00,2020,Q3,200222000,146156000,54066000,0.2700302664,0,9321000,0,9321000,-316000,7434000,153590000,0,16175000,3073000,46316000,0.2313232312,43243000,0.2159752675,-7186000,23271000,0.1162259892,14000,23251000,0.1161261,0.24,0.24,96209666,96370925,,
12,2020-06-30,SBLK,USD,0001386716,2020-06-30,2020-06-30 00:00:00,2020,Q2,146134000,154985000,-8851000,-0.0605676981,0,8958000,0,8958000,382000,9340000,164325000,-15000,15156000,35321000,14452000,0.0988955342,-26245000,-0.1795954398,-8139000,-44164000,-0.3022157746,-16000,-44120000,-0.301914681,-0.46,-0.46,95797140,95797140,,
